Configuration,Metric,Run,Fold,Fold value,Run mean
Masked Transductive,AUPRC,2,4,0.852676,0.8591156
Masked Transductive,AUPRC,2,5,0.865233,0.8591156
Masked Transductive,AUPRC,3,1,0.84612,0.8572443999999999
Masked Transductive,AUPRC,3,2,0.866259,0.8572443999999999
Masked Transductive,AUPRC,3,3,0.849203,0.8572443999999999
Masked Transductive,AUPRC,3,4,0.834017,0.8572443999999999
Masked Transductive,AUPRC,3,5,0.890623,0.8572443999999999
Masked Transductive,AUPRC,4,1,0.851908,0.8603498
Masked Transductive,AUPRC,4,2,0.905109,0.8603498
Masked Transductive,AUPRC,4,3,0.858524,0.8603498
Masked Transductive,AUPRC,4,4,0.842346,0.8603498
Masked Transductive,AUPRC,4,5,0.843862,0.8603498
Masked Transductive,AUPRC,5,1,0.851317,0.8573886
Masked Transductive,AUPRC,5,2,0.879768,0.8573886
Masked Transductive,AUPRC,5,3,0.891555,0.8573886
Masked Transductive,AUPRC,5,4,0.822005,0.8573886
Masked Transductive,AUPRC,5,5,0.842298,0.8573886
Masked Transductive,AUPRC,6,1,0.816661,0.8573894
Masked Transductive,AUPRC,6,2,0.862216,0.8573894
Masked Transductive,AUPRC,6,3,0.827171,0.8573894
Masked Transductive,AUPRC,6,4,0.906589,0.8573894
Masked Transductive,AUPRC,6,5,0.87431,0.8573894
Masked Transductive,AUPRC,7,1,0.824908,0.8546296
Masked Transductive,AUPRC,7,2,0.845155,0.8546296
Masked Transductive,AUPRC,7,3,0.8839,0.8546296
Masked Transductive,AUPRC,7,4,0.872321,0.8546296
Masked Transductive,AUPRC,7,5,0.846864,0.8546296
Masked Transductive,AUPRC,8,1,0.879092,0.8646588000000002
Masked Transductive,AUPRC,8,2,0.852008,0.8646588000000002
Masked Transductive,AUPRC,8,3,0.86336,0.8646588000000002
Masked Transductive,AUPRC,8,4,0.862409,0.8646588000000002
Masked Transductive,AUPRC,8,5,0.866425,0.8646588000000002
Masked Transductive,AUPRC,9,1,0.823356,0.855291
Masked Transductive,AUPRC,9,2,0.857279,0.855291
Masked Transductive,AUPRC,9,3,0.886651,0.855291
Masked Transductive,AUPRC,9,4,0.822383,0.855291
Masked Transductive,AUPRC,9,5,0.886786,0.855291
Masked Transductive,AUPRC,10,1,0.819106,0.854162
Masked Transductive,AUPRC,10,2,0.862934,0.854162
Masked Transductive,AUPRC,10,3,0.868522,0.854162
Masked Transductive,AUPRC,10,4,0.879375,0.854162
Masked Transductive,AUPRC,10,5,0.840873,0.854162
Original Strict Inductive,AUROC,1,1,0.9282,0.93048
Original Strict Inductive,AUROC,1,2,0.9269,0.93048
Original Strict Inductive,AUROC,1,3,0.928,0.93048
Original Strict Inductive,AUROC,1,4,0.9436,0.93048
Original Strict Inductive,AUROC,1,5,0.9257,0.93048
Original Strict Inductive,AUROC,2,1,0.9184,0.93104
Original Strict Inductive,AUROC,2,2,0.938,0.93104
Original Strict Inductive,AUROC,2,3,0.9434,0.93104
Original Strict Inductive,AUROC,2,4,0.9195,0.93104
Original Strict Inductive,AUROC,2,5,0.9359,0.93104
Original Strict Inductive,AUROC,3,1,0.9303,0.93096
Original Strict Inductive,AUROC,3,2,0.9374,0.93096
Original Strict Inductive,AUROC,3,3,0.9286,0.93096
Original Strict Inductive,AUROC,3,4,0.9151,0.93096
Original Strict Inductive,AUROC,3,5,0.9434,0.93096
Original Strict Inductive,AUROC,4,1,0.9252,0.9324600000000001
Original Strict Inductive,AUROC,4,2,0.9574,0.9324600000000001
Original Strict Inductive,AUROC,4,3,0.9371,0.9324600000000001
Original Strict Inductive,AUROC,4,4,0.9202,0.9324600000000001
Original Strict Inductive,AUROC,4,5,0.9224,0.9324600000000001
Original Strict Inductive,AUROC,5,1,0.92,0.9326399999999999
Original Strict Inductive,AUROC,5,2,0.9526,0.9326399999999999
Original Strict Inductive,AUROC,5,3,0.9456,0.9326399999999999
Original Strict Inductive,AUROC,5,4,0.916,0.9326399999999999
Original Strict Inductive,AUROC,5,5,0.929,0.9326399999999999
