Dataset,Metric,Comparison,Candidate,Reference,Paired Unit,N,Candidate Mean,Candidate SD (ddof=0),Reference Mean,Reference SD (ddof=0),Mean Difference,Hodges-Lehmann Diff,95% CI Low,95% CI High,Rank-Biserial r_rb,Wilcoxon p (two-sided),"BH q (Global, m=40)",Significant Global (q<0.05),"BH q (Family, m=10)",Significant Family (q<0.05)
CPDB,AUC,BIMODriver-Original - MNGCL,BIMODriver-Original,MNGCL,10-run mean,10,0.9305175896000002,0.001655062715893714,0.9184688304000002,0.0013655039964417233,0.012048759199999991,0.011929515000000002,0.010114889999999988,0.013670158999999904,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUC,BIMODriver-Masking - DISFusion,BIMODriver-Masking,DISFusion,10-run mean,10,0.9309549456000001,0.001206635045282509,0.92384068,0.0016937778820140426,0.007114265600000003,0.006980409999999937,0.005875107999999962,0.008376380000000072,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUC,BIMODriver-Masking - MNGCL,BIMODriver-Masking,MNGCL,10-run mean,10,0.9309549456000001,0.001206635045282509,0.9184688304000002,0.0013655039964417233,0.012486115199999958,0.012560834999999992,0.010940320999999864,0.013951434999999957,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - DISFusion,BIMODriver-Masking (Mask Test-Incident Edges),DISFusion,10-run mean,10,0.9293662328000002,0.0013696068816176764,0.92384068,0.0016937778820140426,0.005525552800000033,0.005814761999999918,0.004440543999999991,0.006423615000000049,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - MNGCL,BIMODriver-Masking (Mask Test-Incident Edges),MNGCL,10-run mean,10,0.9293662328000002,0.0013696068816176764,0.9184688304000002,0.0013655039964417233,0.010897402399999988,0.010739057000000107,0.009494329999999995,0.01246996899999997,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUC,BIMODriver-Masking (Exclude Test Nodes from Loss) - DISFusion,BIMODriver-Masking (Exclude Test Nodes from Loss),DISFusion,10-run mean,10,0.9292190088,0.0010266089899003234,0.92384068,0.0016937778820140426,0.005378328800000031,0.005293858000000151,0.004227234000000024,0.006523602000000017,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUC,BIMODriver-Masking (Exclude Test Nodes from Loss) - MNGCL,BIMODriver-Masking (Exclude Test Nodes from Loss),MNGCL,10-run mean,10,0.9292190088,0.0010266089899003234,0.9184688304000002,0.0013655039964417233,0.010750178399999987,0.010677947999999937,0.00937711200000002,0.012067056000000076,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUC,BIMODriver-Masking (Mask All Graph Edges) - DISFusion,BIMODriver-Masking (Mask All Graph Edges),DISFusion,10-run mean,10,0.9282519844000001,0.0009840149517818487,0.92384068,0.0016937778820140426,0.004411304400000038,0.004321769999999947,0.0031248619999999505,0.005094095000000021,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUC,BIMODriver-Masking (Mask All Graph Edges) - MNGCL,BIMODriver-Masking (Mask All Graph Edges),MNGCL,10-run mean,10,0.9282519844000001,0.0009840149517818487,0.9184688304000002,0.0013655039964417233,0.009783153999999994,0.009712960999999909,0.00857191199999996,0.010864101000000015,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
STRING,AUPRC,BIMODriver-Original - DISFusion,BIMODriver-Original,DISFusion,10-run mean,10,0.8414208096,0.00164253114156823,0.82855086,0.002846426720012308,0.012869949600000008,0.012821217999999912,0.010979798999999957,0.014671137000000056,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
STRING,AUPRC,BIMODriver-Original - MNGCL,BIMODriver-Original,MNGCL,10-run mean,10,0.8414208096,0.00164253114156823,0.8163198358000001,0.0024996682344499083,0.02510097379999997,0.0248954039999999,0.02300876700000004,0.0273229410000001,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
STRING,AUPRC,BIMODriver-Masking - DISFusion,BIMODriver-Masking,DISFusion,10-run mean,10,0.841072034,0.0013816256981927313,0.82855086,0.002846426720012308,0.012521174000000034,0.012153890000000112,0.010519580000000084,0.014143945000000102,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
STRING,AUPRC,BIMODriver-Masking - MNGCL,BIMODriver-Masking,MNGCL,10-run mean,10,0.841072034,0.0013816256981927313,0.8163198358000001,0.0024996682344499083,0.0247521982,0.024364202,0.022932739999999896,0.02688059399999998,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
STRING,AUPRC,BIMODriver-Masking (Mask Test-Incident Edges) - DISFusion,BIMODriver-Masking (Mask Test-Incident Edges),DISFusion,10-run mean,10,0.8401132798000001,0.001495124996224023,0.82855086,0.002846426720012308,0.011562419800000012,0.01164886399999987,0.009418831999999877,0.013917041999999824,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
STRING,AUPRC,BIMODriver-Masking (Mask Test-Incident Edges) - MNGCL,BIMODriver-Masking (Mask Test-Incident Edges),MNGCL,10-run mean,10,0.8401132798000001,0.001495124996224023,0.8163198358000001,0.0024996682344499083,0.023793443999999976,0.023543268999999978,0.02239515299999989,0.025251073999999984,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
STRING,AUPRC,BIMODriver-Masking (Exclude Test Nodes from Loss) - DISFusion,BIMODriver-Masking (Exclude Test Nodes from Loss),DISFusion,10-run mean,10,0.8400404411999999,0.0014140630274120571,0.82855086,0.002846426720012308,0.011489581199999988,0.012020260999999866,0.010063777000000051,0.01331297299999984,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
STRING,AUPRC,BIMODriver-Masking (Exclude Test Nodes from Loss) - MNGCL,BIMODriver-Masking (Exclude Test Nodes from Loss),MNGCL,10-run mean,10,0.8400404411999999,0.0014140630274120571,0.8163198358000001,0.0024996682344499083,0.02372060539999995,0.023881127999999974,0.021677763999999877,0.025700634999999916,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
STRING,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - DISFusion,BIMODriver-Masking (Mask All Graph Edges),DISFusion,10-run mean,10,0.837416206,0.0023183052769125967,0.82855086,0.002846426720012308,0.008865345999999974,0.00830648200000006,0.007212356000000031,0.010629624999999865,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
STRING,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - MNGCL,BIMODriver-Masking (Mask All Graph Edges),MNGCL,10-run mean,10,0.837416206,0.0023183052769125967,0.8163198358000001,0.0024996682344499083,0.021096370199999936,0.021246614999999913,0.01881866599999993,0.023838605999999984,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
