Run,Fold,Dataset,Metric,BIMODriver-Original,BIMODriver-Masking,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Masking (Mask All Graph Edges),DISFusion,MNGCL
5,1,STRING,AUPRC,0.83191016,0.83216822,0.83776596,0.83283807,0.81945497,0.82165,0.84719852
5,1,STRING,AUC,0.92153605,0.92418668,0.92657356,0.92307895,0.91275336,0.919795,0.93190648
5,2,CPDB,AUPRC,0.89726734,0.88857527,0.88704076,0.88791649,0.88004809,0.872183,0.86264949
5,2,CPDB,AUC,0.95561586,0.95435226,0.95479739,0.95462508,0.95053272,0.949642,0.93216463
5,2,STRING,AUPRC,0.83690349,0.83080903,0.83465412,0.8325825,0.82694381,0.849317,0.81039709
5,2,STRING,AUC,0.92815603,0.92681093,0.92558452,0.92652082,0.92409437,0.934394,0.92117708
5,3,CPDB,AUPRC,0.886116,0.8869208,0.88270428,0.8877998,0.87672668,0.853374,0.84189057
5,3,CPDB,AUC,0.94405034,0.94480835,0.94449371,0.9465103,0.94114703,0.927646,0.93564255
5,3,STRING,AUPRC,0.86734683,0.87274078,0.86813229,0.87356573,0.86411762,0.820772,0.81457848
5,3,STRING,AUC,0.94322902,0.94686869,0.94434994,0.94698738,0.94408619,0.924121,0.91466898
5,4,CPDB,AUPRC,0.82057997,0.81745321,0.81203182,0.814328,0.80734463,0.802326,0.81857494
5,4,CPDB,AUC,0.91582114,0.913907,0.90986284,0.9102946,0.9074162,0.896737,0.90748617
5,4,STRING,AUPRC,0.84410578,0.84130412,0.84583921,0.85171157,0.8530012,0.811598,0.79344383
5,4,STRING,AUC,0.92708499,0.92287785,0.92809365,0.92841217,0.93089399,0.919746,0.91379799
5,5,CPDB,AUPRC,0.85603954,0.86180074,0.85157972,0.84265518,0.84870844,0.846439,0.85099538
5,5,CPDB,AUC,0.92952233,0.93042903,0.93090396,0.92593872,0.92966625,0.92011,0.92393421
5,5,STRING,AUPRC,0.82552768,0.81983201,0.80714876,0.8157131,0.81374468,0.841893,0.82138741
5,5,STRING,AUC,0.92435101,0.92099326,0.91660031,0.92201518,0.91957318,0.934371,0.92140058
6,1,CPDB,AUPRC,0.81455482,0.80875997,0.80942829,0.80495034,0.81811271,0.795617,0.80650452
6,1,CPDB,AUC,0.8971454,0.89286637,0.89438844,0.89344074,0.89813618,0.886591,0.88376524
6,1,STRING,AUPRC,0.83324593,0.82340424,0.82499326,0.83690536,0.82090563,0.807026,0.83411882
6,1,STRING,AUC,0.92418668,0.92078438,0.91814693,0.92507022,0.91176432,0.920758,0.92456029
6,2,CPDB,AUPRC,0.8517058,0.8565727,0.855232,0.85884212,0.84046552,0.848709,0.86191705
6,2,CPDB,AUC,0.93420637,0.93694897,0.93815514,0.93814078,0.931033,0.935154,0.9351372
6,2,STRING,AUPRC,0.83866998,0.83773679,0.83470375,0.82289522,0.82966196,0.835011,0.81282232
6,2,STRING,AUC,0.92654719,0.92691643,0.92543946,0.92234047,0.92554496,0.925083,0.92232419
6,3,CPDB,AUPRC,0.83535548,0.82424765,0.83025023,0.82756451,0.83495857,0.832553,0.84326771
6,3,CPDB,AUC,0.91783467,0.91415904,0.91637586,0.9146024,0.92193936,0.922411,0.93341361
6,3,STRING,AUPRC,0.86729995,0.86475681,0.8769109,0.87665746,0.86912656,0.83304,0.79642497
6,3,STRING,AUC,0.94092126,0.94100038,0.94826654,0.9476863,0.9460379,0.926046,0.9084418
6,4,CPDB,AUPRC,0.89845602,0.90466177,0.90319701,0.90266669,0.90341419,0.886959,0.82481034
6,4,CPDB,AUC,0.95421902,0.95774506,0.95788898,0.95898277,0.95603241,0.949038,0.91009941
6,4,STRING,AUPRC,0.85800462,0.85383018,0.84972382,0.85018151,0.84995266,0.838668,0.79977525
6,4,STRING,AUC,0.92831927,0.93143813,0.92972607,0.92765568,0.92831927,0.93899,0.91814232
6,5,CPDB,AUPRC,0.8781814,0.8812794,0.86624258,0.86791677,0.86678023,0.865262,0.85340206
6,5,CPDB,AUC,0.94266223,0.94388555,0.93656002,0.93690543,0.93576846,0.935006,0.92757225
