范围,基线,指标,测试类型,p值,BH_q_合并(本范围),BH_q_分指标(本范围),论文参考值,BH显著_q<0.05
单癌症-15均值,MTGCN,AUC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,0.000213623046875,0.00034956498579545456,0.000384521484375,0.000214,TRUE
单癌症-15均值,MTGCN,AUPRC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,0.004180908203125,0.004426843979779412,0.004180908203125,0.00418,TRUE
单癌症-15均值,MNGCL,AUC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,0.0318603515625,0.0318603515625,0.0318603515625,0.0319,TRUE
单癌症-15均值,MNGCL,AUPRC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,0.002685547,0.003021240234375,0.003021240234375,0.00269,TRUE
单癌症-15均值,Emogi,AUC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,3.0517578125e-05,0.0001373291015625,0.0001373291015625,3.05e-05,TRUE
单癌症-15均值,Emogi,AUPRC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,3.0517578125e-05,0.0001373291015625,0.00010986328125,3.05e-05,TRUE
单癌症-15均值,ECD-CDGI,AUC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,3.0517578125e-05,0.0001373291015625,0.0001373291015625,3.05e-05,TRUE
单癌症-15均值,ECD-CDGI,AUPRC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,3.0517578125e-05,0.0001373291015625,0.00010986328125,3.05e-05,TRUE
单癌症-15均值,DISHyper,AUC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,9.1552734375e-05,0.00018310546875,0.00020599365234375,9.16e-05,TRUE
单癌症-15均值,DISHyper,AUPRC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,6.103515625e-05,0.0001373291015625,0.00010986328125,6.1e-05,TRUE
单癌症-15均值,DISFusion,AUC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,0.00030517578125,0.00042255108173076925,0.000457763671875,0.000305,TRUE
单癌症-15均值,DISFusion,AUPRC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,0.000213623046875,0.00034956498579545456,0.00029578575721153844,0.000214,TRUE
